cell,source_type,count,pct
QT-JA,公共,35,52.2
QT-JA,自社,14,20.9
QT-JA,OTA,9,13.4
QT-JA,メディア,6,9.0
QT-JA,UGC,3,4.5
QT-EN,公共,9,9.0
QT-EN,自社,40,40.0
QT-EN,OTA,5,5.0
QT-EN,メディア,46,46.0
QT-ZHS,公共,36,37.5
QT-ZHS,自社,39,40.6
QT-ZHS,OTA,4,4.2
QT-ZHS,メディア,8,8.3
QT-ZHS,UGC,9,9.4
QT-ZHT,公共,28,25.2
QT-ZHT,自社,63,56.8
QT-ZHT,OTA,4,3.6
QT-ZHT,メディア,8,7.2
QT-ZHT,UGC,8,7.2
QK-JA,公共,9,22.0
QK-JA,自社,4,9.8
QK-JA,OTA,6,14.6
QK-JA,メディア,22,53.7
QK-EN,公共,1,1.8
QK-EN,自社,8,14.5
QK-EN,OTA,17,30.9
QK-EN,メディア,27,49.1
QK-EN,ディレクトリ,1,1.8
QK-EN,UGC,1,1.8
QK-ZHS,公共,13,17.8
QK-ZHS,自社,40,54.8
QK-ZHS,OTA,4,5.5
QK-ZHS,メディア,15,20.5
QK-ZHS,UGC,1,1.4
QK-ZHT,公共,10,10.4
QK-ZHT,自社,64,66.7
QK-ZHT,OTA,5,5.2
QK-ZHT,メディア,17,17.7
QZ-JA,公共,34,50.0
QZ-JA,自社,14,20.6
QZ-JA,メディア,4,5.9
QZ-JA,ディレクトリ,16,23.5
QZ-EN,公共,10,7.9
QZ-EN,自社,101,80.2
QZ-EN,OTA,8,6.3
QZ-EN,メディア,3,2.4
QZ-EN,UGC,4,3.2
QZ-ZHS,公共,32,35.2
QZ-ZHS,自社,45,49.5
QZ-ZHS,OTA,3,3.3
QZ-ZHS,メディア,3,3.3
QZ-ZHS,ディレクトリ,8,8.8
QZ-ZHT,公共,40,40.4
QZ-ZHT,自社,43,43.4
QZ-ZHT,OTA,5,5.1
QZ-ZHT,メディア,1,1.0
QZ-ZHT,ディレクトリ,7,7.1
QZ-ZHT,UGC,3,3.0
